date,data,delivery,product,out_of_scope,total
2025-10-11,0,0,1,0,1
2025-10-13,1,0,1,1,3
2025-10-14,2,0,1,1,4
2025-10-15,3,0,5,1,9
2025-10-16,5,0,8,3,16
2025-10-17,11,0,10,5,26
2025-10-19,15,0,12,6,33
2025-10-20,21,0,12,6,39
2025-10-21,23,0,16,9,48
2025-10-22,26,0,18,9,53
2025-10-23,34,0,21,10,65
2025-10-24,36,0,26,10,72
2025-10-25,41,0,27,10,78
2025-10-26,42,0,30,12,84
2025-10-27,42,0,31,12,85
2025-10-28,46,0,31,13,90
2025-10-29,50,0,33,13,96
2025-10-30,52,0,35,13,100
2025-10-31,57,0,35,13,105
2025-11-01,57,0,36,14,107
2025-11-02,57,0,38,14,109
2025-11-03,58,0,39,14,111
2025-11-04,85,0,41,14,140
2025-11-05,116,0,56,18,190
2025-11-06,124,0,69,20,213
2025-11-07,131,0,79,20,230
2025-11-08,140,0,81,21,242
2025-11-09,146,0,85,21,252
2025-11-10,150,0,86,21,257
2025-11-11,152,0,88,21,261
2025-11-12,156,0,90,21,267
2025-11-13,158,0,91,21,270
2025-11-14,162,0,93,21,276
2025-11-24,199,3,114,188,504
2025-11-25,200,3,114,188,505
2025-11-26,513,8,267,267,1055
2025-11-28,634,12,323,268,1237
2025-11-30,785,12,395,316,1508
2025-12-02,848,13,426,352,1639
2025-12-03,850,13,428,352,1643
2025-12-04,2027,31,834,970,3862
2025-12-06,2507,40,1051,1158,4756
2025-12-07,2580,42,1095,1160,4877
2025-12-08,2842,52,1293,1546,5733
2025-12-09,2872,56,1311,1549,5788
2025-12-10,2873,56,1313,1550,5792
2025-12-13,2932,74,1398,1562,5966
2025-12-14,3525,99,1746,1989,7359
2025-12-16,3655,99,1812,1997,7563
2025-12-21,4809,112,2477,2946,10344
2025-12-22,5122,121,2685,3204,11132
2025-12-23,5432,122,2798,3377,11729
2025-12-24,5530,123,2858,3481,11992
2025-12-25,5621,123,2921,3539,12204
2025-12-27,5720,123,2990,3622,12455
2025-12-28,7374,1217,3709,4693,16993
2025-12-29,7503,1594,3785,5052,17934
2025-12-30,7761,1670,3995,5077,18503
