company,2.5-lite_known,2.5-lite_industry,2.5-lite_website,2.5-lite_desc,2.5-flash_known,2.5-flash_industry,2.5-flash_website,2.5-flash_desc,3.0-preview_known,3.0-preview_industry,3.0-preview_website,3.0-preview_desc
Granola,False,,,,False,,,,True,ai_ml,granola.so,Granola is an AI-powered notepad that enhances meeting notes by combining manual user input with automated AI summaries and insights.
Legora,False,,,,True,other,legora.com,"Legora is a legal tech company that provides innovative solutions to legal professionals, helping them streamline operations and improve efficiency.",ERROR,ERROR,ERROR,Unterminated string starting at: line 4 column 14 
0g,False,,,,False,,,,True,ai_ml,0g.ai,0G Labs is a modular AI blockchain developer building a high-performance data availability layer to scale decentralized AI applications.
Technitask,False,,,,True,other,technitask.de,"Technitask GmbH is a German IT service provider specializing in software development, IT consulting, and system integration. They offer comprehensive solutions for businesses seeking to optimize their IT infrastructure and processes.",True,hr_tech,technitask.com,"Technitask is a specialist recruitment consultancy that provides talent acquisition services for the technology, engineering, and manufacturing sectors."
Sona,True,healthtech,sona.ai,"Sona is a healthtech company that provides a platform for healthcare providers to manage their workforce, including scheduling, credentialing, and payroll. Their AI-powered solution aims to reduce administrative burden and improve operational efficiency.",True,hr_tech,sona.com,"Sona is a workforce management platform designed for shift-based businesses, helping them manage scheduling, time & attendance, and communication.",True,hr_tech,getsona.com,"Sona is a workforce management platform designed for frontline workers, combining scheduling, communication, and task management into a single mobile application."
Espresso,False,,,,False,,,,ERROR,ERROR,ERROR,Unterminated string starting at: line 5 column 3 (
Retell AI,True,ai_ml,retellai.com,Retell AI is an AI company focused on building advanced voice AI solutions. They specialize in creating natural and engaging conversational AI experiences for various applications.,True,ai_ml,retellai.com,"Retell AI provides an API to build, deploy, and manage AI agents capable of human-like voice conversations.",True,ai_ml,retellai.com,"Retell AI provides a conversational speech API that enables developers to build high-quality, low-latency voice AI agents for various applications."
Clay,False,,,,ERROR,ERROR,ERROR,Unterminated string starting at: line 5 column 3 (,True,data_infra,clay.com,Clay is a go-to-market platform that combines 100+ data sources and AI to automate lead enrichment and personalized outreach.
Partiful,True,consumer,partiful.com,"Partiful is a platform that helps people plan and host parties and events. It offers tools for invitations, guest management, and collecting contributions.",True,consumer,partiful.com,"Partiful is a social event planning app that helps users create, manage, and invite guests to parties. It offers a modern and intuitive platform for event organization and RSVP collection.",True,consumer,partiful.com,"Partiful is a social event planning platform that simplifies the process of creating invitations, managing RSVPs, and communicating with guests for parties and gatherings."
Atomic,True,fintech,atomic.com,"Atomic is a modern payroll and HR platform that helps companies manage their workforce. They offer solutions for payroll, benefits, and compliance.",False,,,,ERROR,ERROR,ERROR,Unterminated string starting at: line 4 column 14 
Phoebe,False,,,,False,,,,ERROR,ERROR,ERROR,Unterminated string starting at: line 5 column 3 (
Artisan,False,,,,False,,,,True,ai_ml,artisan.co,"Artisan develops AI employees to automate end-to-end business workflows, starting with an AI BDR named Ava who automates outbound sales."
Riskledger,True,cybersecurity,riskledger.com,Riskledger is a cybersecurity company that provides a platform for managing and assessing supply chain risk. They help organizations understand and mitigate threats posed by their third-party vendors.,True,cybersecurity,riskledger.com,Riskledger is a third-party risk management platform. It helps organizations manage risks associated with their suppliers and partners.,True,cybersecurity,riskledger.com,Risk Ledger is a supply chain security platform that helps organizations identify and mitigate risks across their entire supplier ecosystem.
Runwise,True,consumer,runwise.com,Runwise is a smart home energy management company that helps homeowners reduce energy waste and save money on utility bills through intelligent automation and data insights.,True,other,runwise.com,"Runwise provides smart building technology and services to help property managers optimize heating and water systems, reduce costs, and improve operational efficiency.",True,other,runwise.com,Runwise provides a smart building control platform that uses wireless sensors and AI to optimize heating and energy systems in multifamily and commercial buildings.
Pulley,True,hr_tech,pulley.com,Pulley is an HR tech company that provides a platform for managing employee equity and compliance for startups.,True,fintech,pulley.com,"Pulley provides cap table management and fund administration software for startups, helping them manage equity, model fundraising, and ensure compliance.",True,fintech,pulley.com,"Pulley is an equity management platform that helps startups and private companies manage their cap tables, 409A valuations, and employee stock options."
Mem,True,consumer,mem.com,"Mem is a personal knowledge management tool that uses AI to help users organize, connect, and rediscover their information. It aims to be a second brain for individuals, allowing them to capture notes, ideas, and web content in a structured and searchable way.",True,ai_ml,mem.ai,Mem is an AI-powered self-organizing workspace that automatically organizes notes and information for easy retrieval.,True,ai_ml,mem.ai,"Mem is an AI-powered workspace and knowledge management platform that uses machine learning to automatically organize, connect, and surface information for users."
Census,True,devtools,census.com,"Census is a reverse ETL platform that helps companies sync their data warehouse data to their operational tools. It enables teams to activate their data for marketing, sales, and customer success.",True,data_infra,getcensus.com,"Census is a data activation platform that helps businesses sync customer data from their data warehouse to business tools like CRMs, marketing automation, and support platforms.",True,data_infra,getcensus.com,"Census is a data integration platform that provides reverse ETL capabilities, allowing companies to sync data from their cloud warehouses into business tools like Salesforce, HubSpot, and Zendesk."
Mux,True,devtools,mux.com,"Mux is a developer-focused video platform that provides APIs for building video experiences. They offer tools for video streaming, encoding, and analytics.",True,devtools,mux.com,"Mux provides API-first video infrastructure and analytics for developers, enabling them to build and deliver high-quality video experiences.",True,devtools,mux.com,"Mux is a video infrastructure platform that provides APIs for developers to build, monitor, and optimize video streaming and analytics."
Vanta,True,cybersecurity,vanta.com,Vanta provides automated security and compliance for growing businesses. They offer a platform that helps companies achieve and maintain compliance with various security standards.,True,cybersecurity,vanta.com,"Vanta is a security and compliance automation platform that helps businesses get and stay compliant with standards like SOC 2, ISO 27001, HIPAA, and GDPR.",True,cybersecurity,vanta.com,"Vanta is a trust management platform that helps companies automate security compliance and streamline risk management for standards like SOC 2, ISO 27001, and HIPAA."
